Neigh,count,unique,min,max,range,sum,mean,median,stddev,minority,majority,q1,q3,iqr,CSA2020
"Bridgeview/Greenlawn, Coppin Heights/Ash-Co-East, Evergreen Lawn, Franklintown Road, Mosher, Northwest Community Action, Rosemont, Winchester, Rosemont Homewoners/Tenants","14","14",-2044,354,2398,-9285,-663.214285714286,-523.5,635.464979204927,-2044,-2044,-1124,-247,877,Greater Rosemont
"Rosemont East, Westfield, Glenham-Belford","9","9",-620,1088,1708,77,8.55555555555556,3,514.195187995789,-620,-620,-399,107,506,Hamilton
"Christopher (now Harford-Echodale/Perring Parkway), Hamilton Hills, Harford-Echodale/Perring Parkway (now Hamilton Hills), North Harford Road, Overlea, Taylor Heights, Woodring (now North Harford Road)","10","10",-620,1088,1708,-148,-14.8,-106.5,496.726443830002,-620,-620,-429,341,770,Hamilton Hills
"Brewers Hill, Highlandtown","9","9",-1128,1047,2175,74,8.22222222222222,-148,677.19614387853,-1128,-1128,-338,531,869,Highlandtown
"Forest Park Golf Course, Grove Park, Howard Park, West Arlington, Seton Business Park","6","6",-471,1358,1829,2735,455.833333333333,591,610.721272121925,-471,-471,-156,822,978,Howard Park/West Arlington
"Federal Hill, Inner Harbor, Otterbein, Ridgely's Delight, Riverside, Sharp-Leadenhall, Stadium Area, Downtown West, SBIC (now South Baltimore), South Baltimore","11","11",-719,1353,2072,2675,243.181818181818,213,498.974005185881,-719,-719,15,334.5,319.5,Inner Harbor/Federal Hill
"Arcadia, Belair-Parkside, Beverly Hills, Lauraville, Moravia-Walther, Morgan Park, Waltherson, Wilson Heights (now Moravia-Walther)","14","14",-511,1088,1599,2473,176.642857142857,25.5,423.9758428332,-511,-511,-78,517,595,Greater Lauraville
"Glen Oaks, Idlewood, Loch Raven, Mt. Pleasant Park, Ramblewood, Woodbourne Heights","10","10",-604,1048,1652,753,75.3,-15.5,496.580517136949,-604,-604,-318,352,670,Loch Raven
"Madison-Eastend, McElderry Park, Milton-Montford","10","10",-1128,73,1201,-3648,-364.8,-321,328.922726487544,-1128,-1128,-540,-177,363,Madison/East End
"Hampden, Hoes Heights, Jones Falls Area, Medfield, Remington, Woodberry, Wyman Park","17","17",-1159,521,1680,-2855,-167.941176470588,-202,392.080194466302,-1159,-1159,-339,113,452,Hampden/Remington
"Coldstream Homestead Montebello, East Baltimore Midway","9","9",-822,277,1099,-2825,-313.888888888889,-370,307.486745674398,-822,-822,-474,-118,356,Midway/Coldstream
"Morrell Park, Oaklee, Saint Agnes, Saint Paul, Violetville, Wilhelm Park","11","11",-927,426,1353,-2389,-217.181818181818,-160,397.033504009152,-927,-927,-517.5,58,575.5,Morrell Park/Violetville
"Coldspring, Mt. Washington, Sabina-Mattfeldt","10","10",-1217,260,1477,-1860,-186,59.5,449.021157630684,-1217,-1217,-477,138,615,Mount Washington/Coldspring
"Bellona-Gittings, Blythewood, Cedarcroft, Guilford, Homeland, Kernewood, Lake Evesham, Rosebank, The Orchards, Villages Of Homeland, Tuscany-Canterbury, Loyola/Notre Dame, Radnor-Winston, York-Homeland","14","14",-1159,944,2103,1424,101.714285714286,88,536.391039204399,-1159,-1159,-68,471,539,North Baltimore/Guilford/Homeland
"Hillen, Montebello, Morgan State University, New Northwood, Original Northwood, Perring Loch, Stonewood-Pentwood-Winston","13","13",-652,1048,1700,1234,94.9230769230769,123,480.691082879393,-652,-652,-118,352,470,Northwood
"Greektown, Orangeville, Eastwood, Joseph Lee (now Bayview), Kresson, Baltimore Highlands, Hopkins Bayview, Bayview, Orangeville Industrial Area, Pulaski Industrial Area","10","10",-1128,1047,2175,-1588,-158.8,-333.5,610.785527006002,-1128,-1128,-553,449,1002,Greektown/Bayview
"Baltimore-Linwood (now Patterson Park Neighborhood), Patterson Place, Ellwood Park/Monument","16","16",-1128,972,2100,-2476,-154.75,-198,476.105621159843,-1128,-1128,-425,-13,412,Patterson Park North & East
"Druid Hill Park, Parkview/Woodbrook, Penn North, Reservoir Hill","13","13",-1220,521,1741,-3038,-233.692307692308,-238,399.720553274483,-1220,-1220,-319,-77,242,Penn North/Reservoir Hill
"Arlington, Central Park Heights, Cylburn, Langston Hughes, Levindale, Pimlico Good Neighbors","9","9",-1217,138,1355,-4524,-502.666666666667,-477,515.372357297776,-1217,-1217,-1073,-97,976,Pimlico/Arlington/Hilltop
"Hollins Market, Poppleton","8","8",-666,384,1050,17,2.125,15,304.901392871532,-666,-666,-96,230.5,326.5,Poppleton/The Terraces/Hollins Market
"Easterwood, Harlem Park, Midtown-Edmondson, Sandtown-Winchester","13","13",-1220,27,1247,-6207,-477.461538461538,-290,464.708778183402,-1220,-1220,-796,-9,787,Sandtown-Winchester/Harlem Park
"Locust Point, Port Covington, Locust Point Industrial Area","9","9",-719,791,1510,575,63.8888888888889,30,387.523029980712,-719,-719,-146,278,424,South Baltimore
"Spring Garden Industrial Area, Canton Industrial Area, Graceland Park, Holabird Industrial Park, Medford, O'Donnell Heights, Saint Helena, Dundalk Marine Terminal","6","6",-473,1047,1520,1740,290,261.5,598.663511498738,-473,-473,-329,972,1301,Southeastern
"Greenspring, Lucille Park, Park Circle, Parklane, Towanda-Grantley","11","11",-1217,455,1672,-3238,-294.363636363636,-187,498.087665290007,-1217,-1217,-421,8,429,Southern Park Heights
"Booth-Boyd, Carrollton Ridge, Franklin Square, Millhill, Penrose/Fayette Street Outreach, Shipley Hill, Union Square, New Southwest/Mt. Clare","18","18",-1433,308,1741,-8290,-460.555555555556,-330,459.963672747005,-1433,-1433,-798,-57,741,Southwest Baltimore
"Better Waverly, Ednor Gardens-Lakeside, Waverly","9","9",-822,664,1486,-2428,-269.777777777778,-280,416.962502384881,-822,-822,-633,-61,572,The Waverlies
"Barre Circle, Carroll Park, Caroll-Camden Industrial Area, Washington Village/Pigtown","9","9",-927,308,1235,-864,-96,-24,354.351990728616,-927,-927,-183,206,389,Pigtown/Carroll Park
"Lakeland, Mt. Winans, Westport","8","8",-555,383,938,-133,-16.625,6,301.608992530064,-555,-555,-243.5,257,500.5,Westport/Mount Winans/Lakeland
Unassigned -- Jail,"4","4",-2743,253,2996,-3595,-898.75,-552.5,1114.70049228481,-2743,-2743,-1666,-131.5,1534.5,Unassigned -- Jail
"Dunbar-Broadway, Gay Street, Middle East, Oldtown, Penn-Fallsway, Pleasant View Gardens, CARE","14","14",-2743,1038,3781,-3563,-254.5,-147,900.954949722,-2743,-2743,-540,289,829,Oldtown/Middle East
"Washington Hill, Jonestown, Little Italy, Perkins Homes","8","8",-1253,1353,2606,782,97.75,251,778.844777539145,-1253,-1253,-543,633,1176,Harbor East/Little Italy
"Druid Heights, Heritage Crossing, Madison Park, Upton","11","11",-1220,153,1373,-4753,-432.090909090909,-319,437.30651920082,-1220,-1220,-682.5,-4.5,678,Upton/Druid Heights
"Bolton Hill, Charles North, Greenmount West, Mid-Town Belvedere, Mount Vernon","19","19",-2743,1353,4096,-5874,-309.157894736842,-347,838.83598943686,-2743,-2743,-626,78,704,Midtown
"Greenmount Cemetery, Johnston Square, Oliver","13","13",-2743,1038,3781,-5065,-389.615384615385,-474,913.278417272423,-2743,-2743,-822,253,1075,Oliver/Johnston Square
